City;Country;ID
Friedrichshafen;DE;
Freiburg;DE;2925177
Stuttgart;DE;
Wuerzburg;DE;
Pforzheim;DE;
Crailsheim;DE;
Ulm;DE;
Memmingen;DE;
Augsburg;DE;
Rotthalmunster;DE;
Muenchen;DE;
Regensburg;DE;
Bayreuth;DE;
Nuremberg;DE;
Zwickau;DE;
Cottbus;DE;
Chemnitz;DE;
Leipzig;DE;
Erfurt;DE;
Magdeburg;DE;
Frankfurt am Main;DE;
Marburg;DE;
Kaiserslautern;DE;
Koblenz;DE;
Kassel;DE;
Bonn;DE;
Dusseldorf;DE;
Meppen;DE;
Berlin;DE;
Dortmund;DE;
Muenster;DE;
Bielefeld;DE;
Hannover;DE;
Bremen;DE;
Hamburg;DE;
Kiel;DE;
Rostock;DE;
Aachen;DE;
Fulda;DE;
Tor;EG;
Suez;EG;
Cairo;EG;
El Arish;EG;
Port Said;EG;
Alexandria;EG;
Marsa Matruh;EG;
Remada;TN;
Tataouine;TN;
Mellita;TN;
Kebili;TN;
Sfax;TN;
Sidi Bouzid;TN;
Mahdia;TN;
Thala;TN;
El Kef;TN;
Enfidha;TN;
Beja;TN;
Adrar;DZ;
Timimoun;DZ;
El Golea;DZ;
Hassi Messaoud;DZ;
Bechar;DZ;
Ghardaïa;DZ;
Ain Sefra;DZ;
El Oued;DZ;
El Bayadh;DZ;
Mecheria;DZ;
Laghouat;DZ;
Djelfa;DZ;
Biskra;DZ;
Maghnia;DZ;
Sidi Bel Abbes;DZ;
Bou Saâda;DZ;
Ksar Chellala;DZ;
Relizane;DZ;
Oran;DZ;
Khenchela;DZ;
Setif;DZ;
Algiers;DZ;
Constantine;DZ;
Bouira;DZ;
Ténès;DZ;
Bejaia;DZ;
Annaba;DZ;
Ceuta;ES;
Errachidia;MA;
Midelt;MA;
Beni-Mellal;MA;
Nouaceur;MA;
Casablanca;MA;
Meknes;MA;
Rabat;MA;
Taza;MA;
Al Hoceima;MA;
Chefchaouene;MA;
Tabuk;SA;
Al Qurayyat;SA;
Aqaba;JO;
At Tafilah;JO;
Amman;JO;
Irbid;JO;
Tel Aviv;IL;
Haifa;IL;
Tripoli;LB;266826
Beirut;LB;
Damascus;SY;
Hama;SY;
Latakia;SY;
Al Hasakah;SY;
Yerevan;AM;
Gyumri;AM;
Tbilisi;GE;
Batumi;GE;
Zestaponi;GE;
Zugdidi;GE;
Gudermes;RU;
Vladikavkaz;RU;
Nalchik;RU;
Teberda;RU;
Adler;RU;
Kizlyar;RU;
Budennovsk;RU;
Nevinnomyssk;RU;
Maykop;RU;
Anapa;RU;
Dzhangala;RU;
Oral;KZ;
Sorochinsk;RU;
Lagan;RU;
Svetlograd;RU;
Astrakhan;RU;
Iki-Burul;RU;
Yashkul;RU;
Tikhoretsk;RU;
Primorsko-Akhtarsk;RU;
Yusta;RU;
Remontnoye;RU;
Zimovniki;RU;
Gigant;RU;
Yeysk;RU;
Taganrog;RU;
Malyye Derbety;RU;
Kotelnikovo;RU;
Konstantinovsk;RU;
Zaporizhzhya;UA;
Urda;RU;
Verkhniy Baskunchak;RU;
Volgograd;RU;
Dnipropetrovsk;RU;
Bokovskaya;RU;
Millerovo;RU;
Izyum;UA;
Novouzensk;RU;
Pallasovka;RU;
Frolovo;RU;
Boguchar;RU;
Valuyki;RU;
Kharkiv;UA;
Krasnyy Kut;RU;
Danilovka;RU;
Rudnya;RU;
Kalach;RU;
Uryupinsk;RU;
Anna;RU;
Liski;RU;
Belgorod;RU;
Yershov;RU;
Balashov;RU;
Pugachev;RU;
Karabulak;RU;
Rtishchevo;RU;
Zherdevka;RU;
Livny;RU;
Sevastopol;UA;
Chornomorske;UA;
Kherson;UA;
Tiraspol;MD;
Chisinau;MD;
Odessa;UA;698740
Balti;MD;
Kryvyy Rih;UA;
Lyubashivka;UA;
Mohyliv-Podilskyy;UA;
Chernivtsi;UA;
Uzhhorod;UA;
Svitlovodsk;UA;
Uman;UA;
Vinnytsya;UA;
Ivano-Frankivsk;UA;
Poltava;UA;
Myronivka;UA;
Khmelnytskyy;UA;
Ternopil;UA;
Lviv;UA;
Lubny;UA;
Boryspil;UA;
Zhytomyr;UA;
Shepetivka;UA;
Sumy;UA;
Konotop;UA;
Volodymyr-Volynskyy;UA;
Chernihiv;UA;
Sarny;UA;
Homyel;BY;
Mazyr;BY;
Pinsk;BY;
Brest;BY;
Samara;RU;
Sterlitamak;RU;
Buguruslan;RU;
Ufa;RU;
Aksakovo;RU;
Bugulma;RU;
Chelno-Vershiny;RU;
Askino;RU;
Vyatskiye Polyany;RU;
Yekaterinburg;RU;
Krasnoufimsk;RU;
Sarapul;RU;
Okhansk;RU;
Nizhniy Tagil;RU;
Glazov;RU;
Verkhoturye;RU;
Kudymkar;RU;
Gari;RU;
Kirs;RU;
Syzran;RU;
Radishchevo;RU;
Tambov;RU;
Lipetsk;RU;
Yefremov;RU;
Orel;RU;
Inza;RU;
Ryazhsk;RU;
Uzlovaya;RU;
Dimitrovgrad;RU;
Surskoye;RU;
Krasnoslobodsk;RU;
Sasovo;RU;
Ryazan;RU;
Sukhinichi;RU;
Kaluga;RU;
Lukoyanov;RU;
Vyksa;RU;
Kashira;RU;
Moscow;RU;
Naro-Fominsk;RU;
Kazan;RU;
Sergach;RU;
Vladimir;RU;
Gagarin;RU;
Kozmodemyansk;RU;
Nizhniy Novgorod;RU;
Tver;RU;
Nolinsk;RU;
Krasnyye Baki;RU;
Yuryevets;RU;
Ivanovo;RU;
Kostroma;RU;
Uglich;RU;
Kotelnich;RU;
Buj;RU;
Rybinsk;RU;
Maksatikha;RU;
Kirov;RU;
Vokhma;RU;
Kologriv;RU;
Cherepovets;RU;
Oparino;RU;
Totma;RU;
Babayevo;RU;
Trubchevsk;RU;
Krasnaya Gora;RU;
Babruysk;BY;
Slutsk;BY;
Baranavichy;BY;
Bryansk;RU;
Roslavl;RU;
Mahilyow;BY;
Marina Horka;BY;
Minsk;BY;
Lida;BY;
Smolensk;RU;
Orsa;BY;
Vilnius;LT;
Kaliningrad;RU;
Dokshytsy;BY;
Utena;LT;
Belyy;RU;577576
Birzai;LT;
Silale;LT;
Velikiye Luki;RU;
Opochka;RU;
Madona;LV;
Riga;LV;
Liepaja;LV;
Ostashkov;RU;
Holm;RU;
Ventspils;LV;
Bologoye;RU;
Staraya Russa;RU;
Pskov;RU;
Valga;EE;
Kuressaare;EE;
Gdov;RU;
Parnu;EE;
Tikhvin;RU;
Lyuban;RU;
Kingisepp;RU;
Tartu;EE;
Khanty-Mansiysk;RU;
Ivdel;RU;
Cherdyn;RU;
Gayny;RU;
Syktyvkar;RU;
Ust-Kulom;RU;
Nizhnesortymskiy;RU;
Sosva;RU;
Ukhta;RU;
Izhma;RU;
Muzi;RU;
Pechora;RU;
Vorkuta;RU;
Naryan-Mar;RU;
Konosha;RU;
Nyuksenitsa;RU;
Vozhega;RU;
Belozersk;RU;
Vyborg;RU;
Krasnoborsk;RU;
Velsk;RU;
Nyandoma;RU;
Pudozh;RU;
Petrozavodsk;RU;
Shenkursk;RU;
Bereznik;RU;
Medvezhyegorsk;RU;
Koslan;RU;
Sura;RU;
Segezha;RU;
Porosozero;RU;
Pinega;RU;
Kholmogory;RU;
Rabocheostrovsk;RU;
Kalevala;RU;
Umba;RU;
Murmansk;RU;
Nikel;RU;
Larnaca;CY;
Paphos;CY;
Rizokarpaso;CY;
Lefka;CY;
Kas;TR;
Iskenderun;TR;
Osmaniye;TR;
Silifke;TR;
Alanya;TR;
Antalya;TR;
Marmaris;TR;
Batman;TR;
Gaziantep;TR;
Denizli;TR;
Nigde;TR;
Eregli;TR;
Konya;TR;
Aksehir;TR;
Aydin;TR;
Bitlis;TR;
Bingol;TR;
Elazig;TR;
Malatya;TR;
Kayseri;TR;
Cihanbeyli;TR;
Akhisar;TR;
Ayvalik;TR;
Van;TR;
Kirsehir;TR;
Kutahya;TR;
Balikesir;TR;
Yozgat;TR;
Kirikkale;TR;
Yalova;TR;
Bursa;TR;
Bandirma;TR;
Canakkale;TR;
Agri;TR;
Kars;TR;
Erzurum;TR;
